# MinhwaPuzzle 스테이지 선택 설정
# 한 줄 = 한 스테이지(슬라이더 슬롯)
# 포맷:
# group=1|stage=0|name=그림이름|difficulty=3

# Group 1 (5)
group=1 | stage=0 | name=그룹1-그림1 | difficulty=1
group=1 | stage=1 | name=그룹1-그림2 | difficulty=2
group=1 | stage=2 | name=그룹1-그림3 | difficulty=3
group=1 | stage=3 | name=그룹1-그림4 | difficulty=4
group=1 | stage=4 | name=그룹1-그림5 | difficulty=5

# Group 2 (5)
group=2 | stage=5 | name=그룹2-그림1 | difficulty=1
group=2 | stage=6 | name=그룹2-그림2 | difficulty=2
group=2 | stage=7 | name=그룹2-그림3 | difficulty=3
group=2 | stage=8 | name=그룹2-그림4 | difficulty=4
group=2 | stage=9 | name=그룹2-그림5 | difficulty=5
